OSM Tags,OSM Values,Constraint Name,Constraint Type
Landuse,landfill,Landfill Point,Point
Landuse,military,Military Point,Point
Landuse,military,Military,Area
Landuse,plant_nursery,IGNORE,Area
Landuse,port,Ports,Area
Landuse,quarry,Quarry Area,Area
Landuse,quarry,Quarry Point,Point
Landuse,railway,Railway Area,Area
Landuse,recreation_ground,Settlements,Area
Landuse,recreation_ground,Buildings,Point
Landuse,religious,Religious Buildings,Point
Landuse,religious,Religious Building Area,Area
Landuse,village_green,Grassland,Area
Landuse,village_green,Villages,Point
Landuse,winter_sports,IGNORE,Point
Landuse,winter_sports,IGNORE,Area
Waterway,Stream,Stream,Area
Boundary,special_economic_zone,SEZ,Point
Waterway,River,River Area,Area
Landuse,Residential,Residential,Point
Landuse,port,Port,Point
Boundary,national_park,National Park,Point
Natural,Water,Lakes,Point
