OSM Tags,OSM Values,Constraint Type,Constraint Name
generator:source,gas,Point,IGNORE
amenity,Buildings,Point,Building
power,plant,Point,Power Plant
power,substation,Point,Substation
amenity,Buildings,Area,Building
power,plant,Area,Power Plant
power,substation,Area,Substation
tourism,attraction,Line,Tourist Area
tourism,attraction,Point,Tourist Area
tourism, zoo,Point,Tourist Area
tourism, zoo,Area,Tourist Area
tourism, museum,Point,Tourist Area
tourism, museum,Area,Tourist Area
tourism, gallery,Point,Tourist Area
tourism, gallery,Area,Tourist Area
industrial,shipyard,Point,Shipyard
industrial,shipyard,Area,Shipyard
aeroway,heliport,Point,Helipad
aeroway,heliport,Area,Helipad
surface,Asphalt,Area,Asphalt Road
surface,Asphalt,Line,Asphalt Road
surface,concrete,Line,Concrete Road
surface,concrete,Area,Concrete Road
water,lake,Area,Lake
water,lake,Point,Lake
water, basin,Point,Lake
water, basin,Area,Lake
water, pond,Point,Lake
water, pond,Area,Lake
water,reservoir,Point,Reservoir
water,reservoir,Area,Reservoir
defensive works,bastion,Point,Military
defensive works,bastion,Area,Military
highway,tracks,Line,Track
highway,tracks,Area,Track
highway,Pedestrian,Line,Road
highway,Pedestrian,Area,Road
highway,primary link,Line,Road
highway,primary link,Area,Road
highway,teritiary link,Line,Road
highway,teritiary link,Area,Road
highway,secondary link,Line,Road
highway,secondary link,Area,Road
historic,heritage,Point,Historical Building
historic,heritage,Area,Historical Building
historic,shrine,Point,Religious Building
historic,shrine,Area,Religious Building
man_made,pipeline,Line,Pipeline
man_made,pier,Point,Pier
man_made,pier,Area,Pier
military,barracks,Point,Military
military,airfield,Point,Military
military,office,Point,Military
military,danger area,Point,Military
military,checkpoint,Point,Military
military,training area,Point,Military
military,bunker,Point,Military
military,barracks,Area,Military
military,airfield,Area,Military
military,office,Area,Military
military,danger area,Area,Military
military,checkpoint,Area,Military
military,training area,Area,Military
military,bunker,Area,Military
natural,desert,Area,Desert
natural,desert,Point,Desert
social_facility,nursing home,Point,Healthcare Facility
social_facility, group home,Point,Healthcare Facility
social_facility,nursing home,Area,Healthcare Facility
social_facility, group home,Area,Healthcare Facility
building:levels,4,Point,IGNORE
building:levels,6,Point,IGNORE
building:levels,10,Point,IGNORE
building:levels,14,Point,IGNORE
building:levels,4,Area,IGNORE
building:levels,6,Area,IGNORE
building:levels,10,Area,IGNORE
building:levels,14,Area,IGNORE
ruins,castle,Area,Historical Building
ruins,building,Area,Historical Building
ruins,house,Area,Historical Building
ruins,castle,Point,Historical Building
ruins,building,Point,Historical Building
ruins,house,Point,Historical Building
seamark:harbour:category,marina,Point,Marina
seamark:type,harbour,Point,Harbour
Harbour,yes,Point,Harbour
landuse,harbour ,Point,Harbour
healthcare,pharmacy,Point,Healthcare Facility
healthcare,hospital,Point,Healthcare Facility
office,buildings  ,Point,Commercial Building
Harbour,yes,Area,Harbour
landuse,harbour ,Area,Harbour
healthcare,pharmacy,Area,Healthcare Facility
healthcare,hospital,Area,Healthcare Facility
office,buildings  ,Area,Commercial Building
tower:type,communication,Point,Communication Tower
route,road ,Line,Road
aerodrome,international,Point,Public Airport
aerodrome,international,Area,Public Airport
landuse,industrial,Area,Industrial
landuse,scrub,Area,Shrubland
landuse,grassland,Area,Grassland
landuse,industrial,Point,Industrial
landuse,scrub,Point,Shrubland
landuse,grassland,Point,Grassland
tracktype,grade1,Line,Track
tracktype,grade2,Line,Track
tracktype,grade3,Line,Track
tracktype,grade4,Line,Track
tracktype,grade5,Line,Track
wetland,marsh,Point,Wetland
wetland,marsh,Area,Wetland
wetland,mangrove,Point,Wetland
wetland,mangrove,Area,Wetland
wetland,swamp,Point,Wetland
wetland,swamp,Area,Wetland
wetland,bog,Point,Wetland
wetland,bog,Area,Wetland
wetland,peat bog,Point,Wetland
wetland,peat bog,Area,Wetland
ford,yes,Point,Road
ford,yes,Area,Road
waterway,dam,Area,Dam
waterway,weir,Area,Weir
waterway,boatyard,Area,Boatyard
waterway,dam,Point,Dam
waterway,weir,Point,Weir
waterway,boatyard,Point,Boatyard
waterway,dam,Line,Dam
waterway,weir,Line,Weir
waterway,boatyard,Line,Boatyard
desert,erg,Point,Desert
desert,salt,Point,Desert
desert,erg,Area,Desert
desert,salt,Area,Desert
railway,rail,Line,Railway
embankment,yes,Point,Embankment
consulate,honorary consul,Point,Diplomatic Institution
embankment,yes,Area,Embankment
consulate,honorary consul,Area,Diplomatic Institution
station,substation,Area,Substation
station,substation,Point,Substation
station,monorail,Line,Railway
station,light rail,Line,Railway
aerodrome:type,military,Point,Military
aerodrome:type,public,Point,Public Airport
aerodrome:type,military,Area,Military
aerodrome:type,public,Area,Public Airport
leaf_cycle,deciduous,Point,Deciduous Tree
leaf_cycle,deciduous,Area,Deciduous Tree
diplomatic,embassy,Area,Diplomatic Institution
diplomatic,consulate,Area,Diplomatic Institution
diplomatic,liaison,Area,Diplomatic Institution
diplomatic,embassy,Point,Diplomatic Institution
diplomatic,consulate,Point,Diplomatic Institution
diplomatic,liaison,Point,Diplomatic Institution
leaf_cycle,evergreen,Point,Evergreen Tree
leaf_cycle,mixed,Point,Mixed Tree
leaf_cycle,evergreen,Line,Evergreen Tree
leaf_cycle,mixed,Line,Mixed Tree
leaf_cycle,evergreen,Area,Evergreen Tree
leaf_cycle,mixed,Area,Mixed Tree
studio,radio,Point,Commercial Building
studio,television,Point,Commercial Building
studio,radio,Area,Commercial Building
studio,television,Area,Commercial Building
building:use,hotel,Area,Tourist Accomodation
building:use,industrial,Area,Commercial Building
building:use,office,Area,Commercial Building
building:use,residential,Area,Residential Building
building:use,hotel,Point,Tourist Accomodation
building:use,industrial,Point,Commercial Building
building:use,office,Point,Commercial Building
building:use,residential,Point,Residential Building
shoulder,yes,Line,Shoulder Road
shoulder,right,Line,Shoulder Road
shoulder,both,Line,Shoulder Road
shoulder,left,Line,Shoulder Road
shoulder,yes,Area,Shoulder Road
shoulder,right,Area,Shoulder Road
shoulder,both,Area,Shoulder Road
shoulder,left,Area,Shoulder Road
hazard,landslides,Area,Landslide
hazard,landslides,Line,Landslide
hazard,landslides,Point,Landslide
memorial,Statue,Point,Historical Building
memorial,war memorial,Point,Historical Building
healthcare:speciality,radiology,Point,Healthcare Facility
healthcare:speciality,fertility,Point,Healthcare Facility
health_facility:type,dispensary,Point,Healthcare Facility
health_facility:type,health centre,Point,Healthcare Facility
memorial,Statue,Area,Historical Building
